year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_185,เพื่อชาติไทย,185,352,0,15
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_252,เปลี่ยน,252,319,0,16
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_244,ใหม่,244,254,0,17
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_221,ไทยรวมไทย,221,243,0,18
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_250,รวมใจไทย,250,193,0,19
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_203,เป็นธรรม,203,185,0,20
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_149,เพื่อชาติ,149,179,0,21
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_55,ชาติไทยพัฒนา,55,164,0,22
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_170,ทางเลือกใหม่,170,154,0,23
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_183,ไทยพร้อม,183,151,0,24
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_238,เพื่อไทรวมพลัง,238,149,0,25
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_247,พลัง,247,141,0,26
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_246,ไทยก้าวหน้า,246,128,0,27
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_226,พลังสังคมใหม่,226,123,0,28
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_205,ประชาไทย,205,116,0,30
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_204,พลังเพื่อไทย,204,116,0,31
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_187,ประชาชาติ,187,110,0,32
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_237,ไทยชนะ,237,95,0,33
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_228,มิติใหม่,228,73,0,34
