year,zone_id,province_id,province_name,region,zone_number,party_name,votes,vote_pct,rank,total_votes
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ไทยรักษาชาติ,0,0.00,29,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ครูไทยเพื่อประชาชน,0,0.00,30,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ประชาธรรมไทย,0,0.00,31,89152
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชาธิปัตย์,44346,35.51,1,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังประชารัฐ,30381,24.33,2,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,อนาคตใหม่,17783,14.24,3,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชาชาติ,8484,6.79,4,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ภูมิใจไทย,4784,3.83,5,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,เสรีรวมไทย,3474,2.78,6,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,รวมพลังประชาชาติไทย,2032,1.63,7,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,แทนคุณแผ่นดิน,1986,1.59,8,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,เศรษฐกิจใหม่,1596,1.28,9,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ชาติไทยพัฒนา,1128,0.90,10,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,เพื่อชาติ,942,0.75,11,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,กรีน,714,0.57,12,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชาธิปไตยใหม่,672,0.54,13,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังไทยรักไทย,634,0.51,14,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชาภิวัฒน์,623,0.50,15,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังสังคม,572,0.46,16,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,รักษ์ผืนป่าประเทศไทย,455,0.36,17,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ความหวังใหม่,452,0.36,18,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังชาติไทย,424,0.34,19,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ภราดรภาพ,415,0.33,20,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ถิ่นกาขาวชาววิไล,401,0.32,21,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังไทยรักชาติ,389,0.31,22,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังท้องถิ่นไท,374,0.30,23,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ไทยศรีวิไลย์,313,0.25,24,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,พลังธรรมใหม่,289,0.23,25,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ชาติพัฒนา,273,0.22,26,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ไทรักธรรม,272,0.22,27,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชานิยม,272,0.22,28,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,คลองไทย,116,0.09,29,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ครูไทยเพื่อประชาชน,108,0.09,30,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,เพื่อแผ่นดิน,93,0.07,31,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ประชาชนปฏิรูป,76,0.06,32,124873
2562,pv_81_z_1,pv_81,กระบี่,ภาคใต้,1,ไทยรักษาชาติ,0,0.00,33,124873
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ภูมิใจไทย,41978,32.28,1,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชาธิปัตย์,40014,30.77,2,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังประชารัฐ,12531,9.63,3,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,อนาคตใหม่,12412,9.54,4,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,เพื่อไทย,6852,5.27,5,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชาชาติ,5204,4.00,6,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,เสรีรวมไทย,1660,1.28,7,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,เศรษฐกิจใหม่,1227,0.94,8,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,ประชาธิปไตยใหม่,993,0.76,9,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,เพื่อชาติ,858,0.66,10,130062
2562,pv_81_z_2,pv_81,กระบี่,ภาคใต้,2,พลังท้องถิ่นไท,705,0.54,11,130062
